geo_name,geo_id,geo_level,metric,race,value
USA,NA,nation,at least 2000 emergency savings,Overall,0.660067167
USA,NA,nation,at least 2000 emergency savings,AAPI,0.767634316
USA,NA,nation,at least 2000 emergency savings,Black,0.419175552
USA,NA,nation,at least 2000 emergency savings,Hispanic,0.48651254
USA,NA,nation,at least 2000 emergency savings,White,0.735864882
USA,NA,nation,at least 2000 emergency savings,Residents of color (total),0.508406304
Alabama,1,state,at least 2000 emergency savings,Overall,0.567559281
Alabama,1,state,at least 2000 emergency savings,AAPI,0.680582083
Alabama,1,state,at least 2000 emergency savings,Black,0.352389608
Alabama,1,state,at least 2000 emergency savings,Hispanic,0.413353095
Alabama,1,state,at least 2000 emergency savings,White,0.659807164
Alabama,1,state,at least 2000 emergency savings,Residents of color (total),0.378652781
Alaska,2,state,at least 2000 emergency savings,Overall,0.66132406
Alaska,2,state,at least 2000 emergency savings,AAPI,0.629969826
Alaska,2,state,at least 2000 emergency savings,Black,NA
Alaska,2,state,at least 2000 emergency savings,Hispanic,0.564509075
Alaska,2,state,at least 2000 emergency savings,White,0.730780762
Alaska,2,state,at least 2000 emergency savings,Residents of color (total),0.508352274
Arizona,4,state,at least 2000 emergency savings,Overall,0.65887451
Arizona,4,state,at least 2000 emergency savings,AAPI,0.746424878
Arizona,4,state,at least 2000 emergency savings,Black,0.465842346
Arizona,4,state,at least 2000 emergency savings,Hispanic,0.4803057
Arizona,4,state,at least 2000 emergency savings,White,0.74808174
Arizona,4,state,at least 2000 emergency savings,Residents of color (total),0.500116337
Arkansas,5,state,at least 2000 emergency savings,Overall,0.547564106
Arkansas,5,state,at least 2000 emergency savings,AAPI,0.715905391
Arkansas,5,state,at least 2000 emergency savings,Black,0.317227156
Arkansas,5,state,at least 2000 emergency savings,Hispanic,0.387982688
Arkansas,5,state,at least 2000 emergency savings,White,0.606943552
Arkansas,5,state,at least 2000 emergency savings,Residents of color (total),0.365169774
California,6,state,at least 2000 emergency savings,Overall,0.701689899
California,6,state,at least 2000 emergency savings,AAPI,0.789169378
California,6,state,at least 2000 emergency savings,Black,0.505466824
California,6,state,at least 2000 emergency savings,Hispanic,0.532227924
California,6,state,at least 2000 emergency savings,White,0.811431324
California,6,state,at least 2000 emergency savings,Residents of color (total),0.605708287
Colorado,8,state,at least 2000 emergency savings,Overall,0.741055905
Colorado,8,state,at least 2000 emergency savings,AAPI,0.766250505
Colorado,8,state,at least 2000 emergency savings,Black,0.51276072
Colorado,8,state,at least 2000 emergency savings,Hispanic,0.505444617
Colorado,8,state,at least 2000 emergency savings,White,0.808955337
Colorado,8,state,at least 2000 emergency savings,Residents of color (total),0.546036525
Connecticut,9,state,at least 2000 emergency savings,Overall,0.718299416
Connecticut,9,state,at least 2000 emergency savings,AAPI,0.793262862
Connecticut,9,state,at least 2000 emergency savings,Black,0.449383382
Connecticut,9,state,at least 2000 emergency savings,Hispanic,0.424852768
Connecticut,9,state,at least 2000 emergency savings,White,0.808088822
Connecticut,9,state,at least 2000 emergency savings,Residents of color (total),0.492698923
Delaware,10,state,at least 2000 emergency savings,Overall,0.703948643
Delaware,10,state,at least 2000 emergency savings,AAPI,0.825524432
Delaware,10,state,at least 2000 emergency savings,Black,0.469571915
Delaware,10,state,at least 2000 emergency savings,Hispanic,0.471170688
Delaware,10,state,at least 2000 emergency savings,White,0.798468012
Delaware,10,state,at least 2000 emergency savings,Residents of color (total),0.516954815
District of Columbia,11,state,at least 2000 emergency savings,Overall,0.705752306
District of Columbia,11,state,at least 2000 emergency savings,AAPI,0.808964776
District of Columbia,11,state,at least 2000 emergency savings,Black,0.473287995
District of Columbia,11,state,at least 2000 emergency savings,Hispanic,0.702952872
District of Columbia,11,state,at least 2000 emergency savings,White,0.92488424
District of Columbia,11,state,at least 2000 emergency savings,Residents of color (total),0.541871335
Florida,12,state,at least 2000 emergency savings,Overall,0.64964144
Florida,12,state,at least 2000 emergency savings,AAPI,0.735636136
Florida,12,state,at least 2000 emergency savings,Black,0.430854144
Florida,12,state,at least 2000 emergency savings,Hispanic,0.501292368
Florida,12,state,at least 2000 emergency savings,White,0.749786491
Florida,12,state,at least 2000 emergency savings,Residents of color (total),0.494346605
Georgia,13,state,at least 2000 emergency savings,Overall,0.612131122
Georgia,13,state,at least 2000 emergency savings,AAPI,0.751504863
Georgia,13,state,at least 2000 emergency savings,Black,0.433639153
Georgia,13,state,at least 2000 emergency savings,Hispanic,0.461399164
Georgia,13,state,at least 2000 emergency savings,White,0.721871385
Georgia,13,state,at least 2000 emergency savings,Residents of color (total),0.470723312
Hawaii,15,state,at least 2000 emergency savings,Overall,0.713670278
Hawaii,15,state,at least 2000 emergency savings,AAPI,0.726530299
Hawaii,15,state,at least 2000 emergency savings,Black,0.590956679
Hawaii,15,state,at least 2000 emergency savings,Hispanic,0.563315472
Hawaii,15,state,at least 2000 emergency savings,White,0.787945398
Hawaii,15,state,at least 2000 emergency savings,Residents of color (total),0.684304364
Idaho,16,state,at least 2000 emergency savings,Overall,0.680599603
Idaho,16,state,at least 2000 emergency savings,AAPI,0.714929577
Idaho,16,state,at least 2000 emergency savings,Black,NA
Idaho,16,state,at least 2000 emergency savings,Hispanic,0.439406216
Idaho,16,state,at least 2000 emergency savings,White,0.712401123
Idaho,16,state,at least 2000 emergency savings,Residents of color (total),0.4891263
Illinois,17,state,at least 2000 emergency savings,Overall,0.671175915
Illinois,17,state,at least 2000 emergency savings,AAPI,0.781455173
Illinois,17,state,at least 2000 emergency savings,Black,0.388122381
Illinois,17,state,at least 2000 emergency savings,Hispanic,0.509903058
Illinois,17,state,at least 2000 emergency savings,White,0.752037804
Illinois,17,state,at least 2000 emergency savings,Residents of color (total),0.502977248
Indiana,18,state,at least 2000 emergency savings,Overall,0.624377713
Indiana,18,state,at least 2000 emergency savings,AAPI,0.702019037
Indiana,18,state,at least 2000 emergency savings,Black,0.337250181
Indiana,18,state,at least 2000 emergency savings,Hispanic,0.426340186
Indiana,18,state,at least 2000 emergency savings,White,0.669770442
Indiana,18,state,at least 2000 emergency savings,Residents of color (total),0.413283045
Iowa,19,state,at least 2000 emergency savings,Overall,0.650882647
Iowa,19,state,at least 2000 emergency savings,AAPI,0.675641631
Iowa,19,state,at least 2000 emergency savings,Black,0.273220385
Iowa,19,state,at least 2000 emergency savings,Hispanic,0.39018232
Iowa,19,state,at least 2000 emergency savings,White,0.682424063
Iowa,19,state,at least 2000 emergency savings,Residents of color (total),0.406963696
Kansas,20,state,at least 2000 emergency savings,Overall,0.633922298
Kansas,20,state,at least 2000 emergency savings,AAPI,0.643475434
Kansas,20,state,at least 2000 emergency savings,Black,0.370343038
Kansas,20,state,at least 2000 emergency savings,Hispanic,0.412287023
Kansas,20,state,at least 2000 emergency savings,White,0.68235065
Kansas,20,state,at least 2000 emergency savings,Residents of color (total),0.430673076
Kentucky,21,state,at least 2000 emergency savings,Overall,0.582552477
Kentucky,21,state,at least 2000 emergency savings,AAPI,0.706554128
Kentucky,21,state,at least 2000 emergency savings,Black,0.363519663
Kentucky,21,state,at least 2000 emergency savings,Hispanic,0.410986439
Kentucky,21,state,at least 2000 emergency savings,White,0.609030529
Kentucky,21,state,at least 2000 emergency savings,Residents of color (total),0.411890164
Louisiana,22,state,at least 2000 emergency savings,Overall,0.558726693
Louisiana,22,state,at least 2000 emergency savings,AAPI,0.696690038
Louisiana,22,state,at least 2000 emergency savings,Black,0.336561171
Louisiana,22,state,at least 2000 emergency savings,Hispanic,0.419280819
Louisiana,22,state,at least 2000 emergency savings,White,0.676351815
Louisiana,22,state,at least 2000 emergency savings,Residents of color (total),0.365475038
Maine,23,state,at least 2000 emergency savings,Overall,0.671498437
Maine,23,state,at least 2000 emergency savings,AAPI,NA
Maine,23,state,at least 2000 emergency savings,Black,NA
Maine,23,state,at least 2000 emergency savings,Hispanic,0.579466708
Maine,23,state,at least 2000 emergency savings,White,0.680474348
Maine,23,state,at least 2000 emergency savings,Residents of color (total),0.498603556
Maryland,24,state,at least 2000 emergency savings,Overall,0.72341976
Maryland,24,state,at least 2000 emergency savings,AAPI,0.810159351
Maryland,24,state,at least 2000 emergency savings,Black,0.557556472
Maryland,24,state,at least 2000 emergency savings,Hispanic,0.584956191
Maryland,24,state,at least 2000 emergency savings,White,0.824023498
Maryland,24,state,at least 2000 emergency savings,Residents of color (total),0.599389335
Massachusetts,25,state,at least 2000 emergency savings,Overall,0.747176382
Massachusetts,25,state,at least 2000 emergency savings,AAPI,0.787130983
Massachusetts,25,state,at least 2000 emergency savings,Black,0.507596551
Massachusetts,25,state,at least 2000 emergency savings,Hispanic,0.442437216
Massachusetts,25,state,at least 2000 emergency savings,White,0.808633749
Massachusetts,25,state,at least 2000 emergency savings,Residents of color (total),0.556261135
Michigan,26,state,at least 2000 emergency savings,Overall,0.642460253
Michigan,26,state,at least 2000 emergency savings,AAPI,0.750366145
Michigan,26,state,at least 2000 emergency savings,Black,0.341194436
Michigan,26,state,at least 2000 emergency savings,Hispanic,0.458354176
Michigan,26,state,at least 2000 emergency savings,White,0.704537225
Michigan,26,state,at least 2000 emergency savings,Residents of color (total),0.423907054
Minnesota,27,state,at least 2000 emergency savings,Overall,0.731271973
Minnesota,27,state,at least 2000 emergency savings,AAPI,0.718862573
Minnesota,27,state,at least 2000 emergency savings,Black,0.368877468
Minnesota,27,state,at least 2000 emergency savings,Hispanic,0.459446276
Minnesota,27,state,at least 2000 emergency savings,White,0.773661834
Minnesota,27,state,at least 2000 emergency savings,Residents of color (total),0.495536223
Mississippi,28,state,at least 2000 emergency savings,Overall,0.517107455
Mississippi,28,state,at least 2000 emergency savings,AAPI,0.659101655
Mississippi,28,state,at least 2000 emergency savings,Black,0.313786694
Mississippi,28,state,at least 2000 emergency savings,Hispanic,0.391524959
Mississippi,28,state,at least 2000 emergency savings,White,0.649838968
Mississippi,28,state,at least 2000 emergency savings,Residents of color (total),0.327277239
Missouri,29,state,at least 2000 emergency savings,Overall,0.62557407
Missouri,29,state,at least 2000 emergency savings,AAPI,0.713133508
Missouri,29,state,at least 2000 emergency savings,Black,0.34903665
Missouri,29,state,at least 2000 emergency savings,Hispanic,0.45862448
Missouri,29,state,at least 2000 emergency savings,White,0.672173084
Missouri,29,state,at least 2000 emergency savings,Residents of color (total),0.419542886
Montana,30,state,at least 2000 emergency savings,Overall,0.663178163
Montana,30,state,at least 2000 emergency savings,AAPI,NA
Montana,30,state,at least 2000 emergency savings,Black,NA
Montana,30,state,at least 2000 emergency savings,Hispanic,0.445523013
Montana,30,state,at least 2000 emergency savings,White,0.692963813
Montana,30,state,at least 2000 emergency savings,Residents of color (total),0.422745521
Nebraska,31,state,at least 2000 emergency savings,Overall,0.654246047
Nebraska,31,state,at least 2000 emergency savings,AAPI,0.610059757
Nebraska,31,state,at least 2000 emergency savings,Black,0.401493511
Nebraska,31,state,at least 2000 emergency savings,Hispanic,0.381295581
Nebraska,31,state,at least 2000 emergency savings,White,0.69812978
Nebraska,31,state,at least 2000 emergency savings,Residents of color (total),0.42943391
Nevada,32,state,at least 2000 emergency savings,Overall,0.635071077
Nevada,32,state,at least 2000 emergency savings,AAPI,0.69625831
Nevada,32,state,at least 2000 emergency savings,Black,0.407553065
Nevada,32,state,at least 2000 emergency savings,Hispanic,0.473604319
Nevada,32,state,at least 2000 emergency savings,White,0.732675807
Nevada,32,state,at least 2000 emergency savings,Residents of color (total),0.505448065
New Hampshire,33,state,at least 2000 emergency savings,Overall,0.736143122
New Hampshire,33,state,at least 2000 emergency savings,AAPI,0.761412575
New Hampshire,33,state,at least 2000 emergency savings,Black,NA
New Hampshire,33,state,at least 2000 emergency savings,Hispanic,0.568257586
New Hampshire,33,state,at least 2000 emergency savings,White,0.743093437
New Hampshire,33,state,at least 2000 emergency savings,Residents of color (total),0.646493638
New Jersey,34,state,at least 2000 emergency savings,Overall,0.729110949
New Jersey,34,state,at least 2000 emergency savings,AAPI,0.842546987
New Jersey,34,state,at least 2000 emergency savings,Black,0.484141187
New Jersey,34,state,at least 2000 emergency savings,Hispanic,0.513511477
New Jersey,34,state,at least 2000 emergency savings,White,0.829501339
New Jersey,34,state,at least 2000 emergency savings,Residents of color (total),0.579428778
New Mexico,35,state,at least 2000 emergency savings,Overall,0.591651605
New Mexico,35,state,at least 2000 emergency savings,AAPI,0.678811183
New Mexico,35,state,at least 2000 emergency savings,Black,0.480865459
New Mexico,35,state,at least 2000 emergency savings,Hispanic,0.469208815
New Mexico,35,state,at least 2000 emergency savings,White,0.728229171
New Mexico,35,state,at least 2000 emergency savings,Residents of color (total),0.473038525
New York,36,state,at least 2000 emergency savings,Overall,0.671032854
New York,36,state,at least 2000 emergency savings,AAPI,0.724913487
New York,36,state,at least 2000 emergency savings,Black,0.469969598
New York,36,state,at least 2000 emergency savings,Hispanic,0.465515215
New York,36,state,at least 2000 emergency savings,White,0.766452229
New York,36,state,at least 2000 emergency savings,Residents of color (total),0.521733185
North Carolina,37,state,at least 2000 emergency savings,Overall,0.624310009
North Carolina,37,state,at least 2000 emergency savings,AAPI,0.774611615
North Carolina,37,state,at least 2000 emergency savings,Black,0.396431974
North Carolina,37,state,at least 2000 emergency savings,Hispanic,0.437427124
North Carolina,37,state,at least 2000 emergency savings,White,0.714773341
North Carolina,37,state,at least 2000 emergency savings,Residents of color (total),0.438797742
North Dakota,38,state,at least 2000 emergency savings,Overall,0.643953664
North Dakota,38,state,at least 2000 emergency savings,AAPI,NA
North Dakota,38,state,at least 2000 emergency savings,Black,NA
North Dakota,38,state,at least 2000 emergency savings,Hispanic,0.396350017
North Dakota,38,state,at least 2000 emergency savings,White,0.689209466
North Dakota,38,state,at least 2000 emergency savings,Residents of color (total),0.361797636
Ohio,39,state,at least 2000 emergency savings,Overall,0.62634608
Ohio,39,state,at least 2000 emergency savings,AAPI,0.77653117
Ohio,39,state,at least 2000 emergency savings,Black,0.334485997
Ohio,39,state,at least 2000 emergency savings,Hispanic,0.409273446
Ohio,39,state,at least 2000 emergency savings,White,0.680234095
Ohio,39,state,at least 2000 emergency savings,Residents of color (total),0.403099659
Oklahoma,40,state,at least 2000 emergency savings,Overall,0.588957496
Oklahoma,40,state,at least 2000 emergency savings,AAPI,0.66004105
Oklahoma,40,state,at least 2000 emergency savings,Black,0.368423669
Oklahoma,40,state,at least 2000 emergency savings,Hispanic,0.382800166
Oklahoma,40,state,at least 2000 emergency savings,White,0.652090766
Oklahoma,40,state,at least 2000 emergency savings,Residents of color (total),0.439645061
Oregon,41,state,at least 2000 emergency savings,Overall,0.706989233
Oregon,41,state,at least 2000 emergency savings,AAPI,0.753798509
Oregon,41,state,at least 2000 emergency savings,Black,0.442968515
Oregon,41,state,at least 2000 emergency savings,Hispanic,0.49740431
Oregon,41,state,at least 2000 emergency savings,White,0.739366555
Oregon,41,state,at least 2000 emergency savings,Residents of color (total),0.565844032
Pennsylvania,42,state,at least 2000 emergency savings,Overall,0.671392811
Pennsylvania,42,state,at least 2000 emergency savings,AAPI,0.747104938
Pennsylvania,42,state,at least 2000 emergency savings,Black,0.395643935
Pennsylvania,42,state,at least 2000 emergency savings,Hispanic,0.417577428
Pennsylvania,42,state,at least 2000 emergency savings,White,0.723577138
Pennsylvania,42,state,at least 2000 emergency savings,Residents of color (total),0.461665513
Rhode Island,44,state,at least 2000 emergency savings,Overall,0.695284945
Rhode Island,44,state,at least 2000 emergency savings,AAPI,0.781338699
Rhode Island,44,state,at least 2000 emergency savings,Black,0.438386429
Rhode Island,44,state,at least 2000 emergency savings,Hispanic,0.41056156
Rhode Island,44,state,at least 2000 emergency savings,White,0.760531683
Rhode Island,44,state,at least 2000 emergency savings,Residents of color (total),0.478005828
South Carolina,45,state,at least 2000 emergency savings,Overall,0.622946534
South Carolina,45,state,at least 2000 emergency savings,AAPI,0.716443672
South Carolina,45,state,at least 2000 emergency savings,Black,0.374602268
South Carolina,45,state,at least 2000 emergency savings,Hispanic,0.443382022
South Carolina,45,state,at least 2000 emergency savings,White,0.729043735
South Carolina,45,state,at least 2000 emergency savings,Residents of color (total),0.404087445
South Dakota,46,state,at least 2000 emergency savings,Overall,0.657942037
South Dakota,46,state,at least 2000 emergency savings,AAPI,NA
South Dakota,46,state,at least 2000 emergency savings,Black,NA
South Dakota,46,state,at least 2000 emergency savings,Hispanic,NA
South Dakota,46,state,at least 2000 emergency savings,White,0.692511364
South Dakota,46,state,at least 2000 emergency savings,Residents of color (total),0.420324172
Tennessee,47,state,at least 2000 emergency savings,Overall,0.621782522
Tennessee,47,state,at least 2000 emergency savings,AAPI,0.761642222
Tennessee,47,state,at least 2000 emergency savings,Black,0.387185353
Tennessee,47,state,at least 2000 emergency savings,Hispanic,0.394453344
Tennessee,47,state,at least 2000 emergency savings,White,0.683932543
Tennessee,47,state,at least 2000 emergency savings,Residents of color (total),0.418946514
Texas,48,state,at least 2000 emergency savings,Overall,0.616098497
Texas,48,state,at least 2000 emergency savings,AAPI,0.774875888
Texas,48,state,at least 2000 emergency savings,Black,0.441373899
Texas,48,state,at least 2000 emergency savings,Hispanic,0.457708645
Texas,48,state,at least 2000 emergency savings,White,0.753028047
Texas,48,state,at least 2000 emergency savings,Residents of color (total),0.486747188
Utah,49,state,at least 2000 emergency savings,Overall,0.739040853
Utah,49,state,at least 2000 emergency savings,AAPI,0.70066123
Utah,49,state,at least 2000 emergency savings,Black,0.441894721
Utah,49,state,at least 2000 emergency savings,Hispanic,0.518722105
Utah,49,state,at least 2000 emergency savings,White,0.779646303
Utah,49,state,at least 2000 emergency savings,Residents of color (total),0.547934003
Vermont,50,state,at least 2000 emergency savings,Overall,0.706374088
Vermont,50,state,at least 2000 emergency savings,AAPI,NA
Vermont,50,state,at least 2000 emergency savings,Black,NA
Vermont,50,state,at least 2000 emergency savings,Hispanic,NA
Vermont,50,state,at least 2000 emergency savings,White,0.716611743
Vermont,50,state,at least 2000 emergency savings,Residents of color (total),0.539057928
Virginia,51,state,at least 2000 emergency savings,Overall,0.709805273
Virginia,51,state,at least 2000 emergency savings,AAPI,0.810907822
Virginia,51,state,at least 2000 emergency savings,Black,0.501343637
Virginia,51,state,at least 2000 emergency savings,Hispanic,0.562127651
Virginia,51,state,at least 2000 emergency savings,White,0.777379331
Virginia,51,state,at least 2000 emergency savings,Residents of color (total),0.575656653
Washington,53,state,at least 2000 emergency savings,Overall,0.739893678
Washington,53,state,at least 2000 emergency savings,AAPI,0.795975079
Washington,53,state,at least 2000 emergency savings,Black,0.5020909
Washington,53,state,at least 2000 emergency savings,Hispanic,0.518785241
Washington,53,state,at least 2000 emergency savings,White,0.778829677
Washington,53,state,at least 2000 emergency savings,Residents of color (total),0.627293785
West Virginia,54,state,at least 2000 emergency savings,Overall,0.580752718
West Virginia,54,state,at least 2000 emergency savings,AAPI,NA
West Virginia,54,state,at least 2000 emergency savings,Black,0.383430984
West Virginia,54,state,at least 2000 emergency savings,Hispanic,0.543604326
West Virginia,54,state,at least 2000 emergency savings,White,0.588516069
West Virginia,54,state,at least 2000 emergency savings,Residents of color (total),0.465675793
Wisconsin,55,state,at least 2000 emergency savings,Overall,0.681898239
Wisconsin,55,state,at least 2000 emergency savings,AAPI,0.705974386
Wisconsin,55,state,at least 2000 emergency savings,Black,0.346125172
Wisconsin,55,state,at least 2000 emergency savings,Hispanic,0.437448495
Wisconsin,55,state,at least 2000 emergency savings,White,0.720886124
Wisconsin,55,state,at least 2000 emergency savings,Residents of color (total),0.449569185
Wyoming,56,state,at least 2000 emergency savings,Overall,0.675345521
Wyoming,56,state,at least 2000 emergency savings,AAPI,NA
Wyoming,56,state,at least 2000 emergency savings,Black,NA
Wyoming,56,state,at least 2000 emergency savings,Hispanic,0.479812984
Wyoming,56,state,at least 2000 emergency savings,White,0.704605949
