geo_name,geo_id,geo_level,metric,value
USA,NA,nation,at least 2000 emergency savings,0.6601
Alabama,1,state,at least 2000 emergency savings,0.5676
Alaska,2,state,at least 2000 emergency savings,0.6613
Arizona,4,state,at least 2000 emergency savings,0.6589
Arkansas,5,state,at least 2000 emergency savings,0.5476
California,6,state,at least 2000 emergency savings,0.7017
Colorado,8,state,at least 2000 emergency savings,0.7411
Connecticut,9,state,at least 2000 emergency savings,0.7183
Delaware,10,state,at least 2000 emergency savings,0.7039
District of Columbia,11,state,at least 2000 emergency savings,0.7058
Florida,12,state,at least 2000 emergency savings,0.6496
Georgia,13,state,at least 2000 emergency savings,0.6121
Hawaii,15,state,at least 2000 emergency savings,0.7137
Idaho,16,state,at least 2000 emergency savings,0.6806
Illinois,17,state,at least 2000 emergency savings,0.6712
Indiana,18,state,at least 2000 emergency savings,0.6244
Iowa,19,state,at least 2000 emergency savings,0.6509
Kansas,20,state,at least 2000 emergency savings,0.6339
Kentucky,21,state,at least 2000 emergency savings,0.5826
Louisiana,22,state,at least 2000 emergency savings,0.5587
Maine,23,state,at least 2000 emergency savings,0.6715
Maryland,24,state,at least 2000 emergency savings,0.7234
Massachusetts,25,state,at least 2000 emergency savings,0.7472
Michigan,26,state,at least 2000 emergency savings,0.6425
Minnesota,27,state,at least 2000 emergency savings,0.7313
Mississippi,28,state,at least 2000 emergency savings,0.5171
Missouri,29,state,at least 2000 emergency savings,0.6256
Montana,30,state,at least 2000 emergency savings,0.6632
Nebraska,31,state,at least 2000 emergency savings,0.6542
Nevada,32,state,at least 2000 emergency savings,0.6351
New Hampshire,33,state,at least 2000 emergency savings,0.7361
New Jersey,34,state,at least 2000 emergency savings,0.7291
New Mexico,35,state,at least 2000 emergency savings,0.5917
New York,36,state,at least 2000 emergency savings,0.671
North Carolina,37,state,at least 2000 emergency savings,0.6243
North Dakota,38,state,at least 2000 emergency savings,0.644
Ohio,39,state,at least 2000 emergency savings,0.6263
Oklahoma,40,state,at least 2000 emergency savings,0.589
Oregon,41,state,at least 2000 emergency savings,0.707
Pennsylvania,42,state,at least 2000 emergency savings,0.6714
Rhode Island,44,state,at least 2000 emergency savings,0.6953
South Carolina,45,state,at least 2000 emergency savings,0.6229
South Dakota,46,state,at least 2000 emergency savings,0.6579
Tennessee,47,state,at least 2000 emergency savings,0.6218
Texas,48,state,at least 2000 emergency savings,0.6161
Utah,49,state,at least 2000 emergency savings,0.739
Vermont,50,state,at least 2000 emergency savings,0.7064
Virginia,51,state,at least 2000 emergency savings,0.7098
Washington,53,state,at least 2000 emergency savings,0.7399
West Virginia,54,state,at least 2000 emergency savings,0.5808
Wisconsin,55,state,at least 2000 emergency savings,0.6819
Wyoming,56,state,at least 2000 emergency savings,0.6753
USA,NA,nation,median net worth,125966.322
Alabama,1,state,median net worth,82628.9851
Alaska,2,state,median net worth,153852.4086
Arizona,4,state,median net worth,138921.5795
Arkansas,5,state,median net worth,69986.4667
California,6,state,median net worth,202074.5242
Colorado,8,state,median net worth,232687.5886
Connecticut,9,state,median net worth,195123.6986
Delaware,10,state,median net worth,189818.7502
District of Columbia,11,state,median net worth,118464.9105
Florida,12,state,median net worth,135710.5097
Georgia,13,state,median net worth,96512.5018
Hawaii,15,state,median net worth,292822.637
Idaho,16,state,median net worth,163046.8114
Illinois,17,state,median net worth,123164.8623
Indiana,18,state,median net worth,98484.4642
Iowa,19,state,median net worth,108277.5058
Kansas,20,state,median net worth,93591.6672
Kentucky,21,state,median net worth,83952.9756
Louisiana,22,state,median net worth,82049.5371
Maine,23,state,median net worth,146036.325
Maryland,24,state,median net worth,210375.5214
Massachusetts,25,state,median net worth,251330.1832
Michigan,26,state,median net worth,113258.4635
Minnesota,27,state,median net worth,180129.7333
Mississippi,28,state,median net worth,66158.0714
Missouri,29,state,median net worth,97032.5774
Montana,30,state,median net worth,158783.6495
Nebraska,31,state,median net worth,103158.3518
Nevada,32,state,median net worth,118589.1452
New Hampshire,33,state,median net worth,213927.8917
New Jersey,34,state,median net worth,211417.2449
New Mexico,35,state,median net worth,99030.6627
New York,36,state,median net worth,120889.4392
North Carolina,37,state,median net worth,104870.9217
North Dakota,38,state,median net worth,89456.9241
Ohio,39,state,median net worth,94766.6513
Oklahoma,40,state,median net worth,78824.2676
Oregon,41,state,median net worth,189133.0667
Pennsylvania,42,state,median net worth,126013.6655
Rhode Island,44,state,median net worth,165742.3796
South Carolina,45,state,median net worth,108529.7498
South Dakota,46,state,median net worth,114027.9141
Tennessee,47,state,median net worth,103565.0395
Texas,48,state,median net worth,87881.8806
Utah,49,state,median net worth,201571.7674
Vermont,50,state,median net worth,171032.0821
Virginia,51,state,median net worth,178512.3786
Washington,53,state,median net worth,218793.218
West Virginia,54,state,median net worth,88474.3499
Wisconsin,55,state,median net worth,132614.5986
Wyoming,56,state,median net worth,178150.9411
USA,NA,nation,has_delinq_pct,0.3148
USA,NA,nation,score_cleanpos_p50,692
USA,NA,nation,had_foreclosure_2yr_pct,7e-4
Alabama,1,state,has_delinq_pct,0.3712
Alabama,1,state,score_cleanpos_p50,675
Alabama,1,state,had_foreclosure_2yr_pct,0.0013
Alaska,2,state,has_delinq_pct,0.2626
Alaska,2,state,score_cleanpos_p50,706
Alaska,2,state,had_foreclosure_2yr_pct,0.0011
